columnname,rowcount,pctscan,datatype,nullcount,distinctvalues,maximum,minimum,name_3,name_4,median,average,standarddev,name_1,values,name_2
DATE_ID,156,100,DATE,0,91,2018-06-11,1999-12-12,2018-03-26,2018-01-15,2018-02-15,,,N,2018-02-28,N
CHANNEL_ID,156,100,VARCHAR2,0,15,CH04,-1,CH04,1512163670,CH02,,,N,,N
CALL_DIRECTION_ID,156,100,VARCHAR2,0,8,CD_ID_100002,-1,CD_ID_100002,3603385035,CD_ID_100001,,,N,,N
PARTY_ROLE_TYPE_ID,156,100,VARCHAR2,0,11,PRTID_187,-1,PRTID_187,-1,PRTID_103,,,N,,N
INTRCN_TOPIC_SUBTYPE_ID,156,100,VARCHAR2,0,17,ITSID_1034,-1,ITSID_1034,458522540,ITSID_1033,,,N,,N
TOT_INTRCN_CNT,156,100,NUMBER,0,91,862,1,689,105,142.5,214.69,215.19,N,,Y
TOT_INTRCN_TOPIC_CNT,156,100,NUMBER,0,93,522,1,191,56,134.5,143.12,102.17,N,,Y
TOT_REPT_INTRCN_7DAYS_CNT,156,100,NUMBER,0,87,141,0,126,16,82.5,83.22,36.92,N,,Y
TOT_REPT_INTRCN_14DAYS_CNT,156,100,NUMBER,0,93,700,0,255,16,142.5,168.15,151.24,N,,Y
TOT_REPT_INTRCN_21DAYS_CNT,156,100,NUMBER,0,94,292,0,277,2,214.5,149.92,112.11,N,,Y
TOT_REPT_INTRCN_30DAYS_CNT,156,100,NUMBER,0,92,391,0,376,2,313.5,190.87,172.86,N,,Y
TOT_REPT_INTRCN_TOPIC_7DAYS_CNT,156,100,NUMBER,0,92,142,0,127,2,64.5,55.83,51.63,N,,Y
TOT_REPT_INTRCN_TOPIC_14DAYS_CNT,156,100,NUMBER,0,92,242,0,227,1,164.5,109.51,100.22,N,,Y
TOT_REPT_INTRCN_TOPIC_21DAYS_CNT,156,100,NUMBER,0,92,341,0,326,0,263.5,162.92,149.09,N,,Y
TOT_REPT_INTRCN_TOPIC_30DAYS_CNT,156,100,NUMBER,0,92,442,0,427,1,364.5,217.54,199.06,N,,Y
CREATE_JOB_RUN_ID,156,100,NUMBER,0,97,16003,1009,15059,1024,1086.5,7211.04,6717.88,N,,Y
UPDATE_JOB_RUN_ID,156,100,NUMBER,0,97,16003,1009,15059,1024,1086.5,7211.04,6717.88,N,,Y
CREATE_DATE_TIME,156,100,TIMESTAMP(6),0,89,2018-07-23,2018-04-18,2018-06-27,2018-04-18,2018-04-18,,,N,,N
UPDATE_DATE_TIME,156,100,TIMESTAMP(6),0,89,2018-07-23,2018-04-18,2018-06-27,2018-04-18,2018-04-18,,,N,,N
CREATE_USER_ID,156,100,VARCHAR2,0,85,sshuser,CUID_1008,sshuser,CUID_1023,CUID_1085,,,N,,N
UPDATE_USER_ID,156,100,VARCHAR2,0,85,sshuser,UUID_1008,sshuser,UUID_1023,UUID_1085,,,N,,N
