columnname,rowcount,pctscan,datatype,nullcount,distinctvalues,maximum,minimum,name_3,name_4,median,average,standarddev,name_1,values,name_2
DEALER_ID,50,100,VARCHAR2,0,50,DEALERID_169,DEALERID_120,DEALERID_164,DEALERID_124,DEALERID_144,,,N,,N
DEALER_NAME,50,100,VARCHAR2,0,50,DEALERID_168,DEALERID_119,DEALERID_163,DEALERID_123,DEALERID_143,,,N,,N
STREET,50,100,VARCHAR2,0,25,STREET9,STREET11,STREET6,STREET16,STREET36,,,N,,N
CITY,50,100,VARCHAR2,0,32,Warwickshire,Argyll and Bute,South Lanarkshire,Ceredigion,Lancashire,,,N,,N
STATE,50,100,VARCHAR2,0,3,Scotland,England,Scotland,England,England,,,N,,N
COUNTRY_NAME,50,100,VARCHAR2,0,1,UK,UK,UK,UK,UK,,,N,,N
POST_CODE,50,100,VARCHAR2,0,50,RG8 WF10,RG1 CO9,RG8 N6,RG1 PO36,RG4 PE22,,,N,,N
DEALER_STATUS_NAME,50,100,VARCHAR2,0,1,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,,,N,,N
CREATE_JOB_RUN_ID,50,100,NUMBER,0,1,1000,1000,1000,1000,1000,1000,0,N,,Y
UPDATE_JOB_RUN_ID,50,100,NUMBER,0,1,1000,1000,1000,1000,1000,1000,0,N,,Y
CREATE_DATE_TIME,50,100,TIMESTAMP(6),0,50,2018-08-09,2018-08-09,2018-08-09,2018-08-09,2018-08-09,,,N,,N
UPDATE_DATE_TIME,50,100,TIMESTAMP(6),0,50,2018-08-09,2018-08-09,2018-08-09,2018-08-09,2018-08-09,,,N,,N
CREATE_USER_ID,50,100,VARCHAR2,0,1,sshuser,sshuser,sshuser,sshuser,sshuser,,,N,,N
UPDATE_USER_ID,50,100,VARCHAR2,0,1,sshuser,sshuser,sshuser,sshuser,sshuser,,,N,,N
RECORD_STATUS,50,100,NUMBER,0,1,1,1,1,1,1,1,0,N,,Y
EFFECTIVE_START_DATE,50,100,TIMESTAMP(6),0,50,2018-08-09,2018-08-09,2018-08-09,2018-08-09,2018-08-09,,,N,,N
EFFECTIVE_END_DATE,50,100,TIMESTAMP(6),0,5,2099-05-24,2099-05-24,2099-05-24,2099-05-24,2099-05-24,,,N,,N
DIM_DEALER_KEY_SEQ,50,100,NUMBER,0,50,52,3,47,7,27.5,27.5,14.58,N,,Y
