columnname,rowcount,pctscan,datatype,nullcount,distinctvalues,maximum,minimum,name_3,name_4,median,average,standarddev,name_1,values,name_2
DEVICE_ID,19,100,VARCHAR2,0,19,PRSID_010,DEVICEID_40103,PRSID_009,DEVICEID_40104,DEVICEID_40112,,,N,,N
DEVICE_NAME,19,100,VARCHAR2,0,19,PRNAME27,DEVICENAME_50103,PRNAME26,DEVICENAME_50104,DEVICENAME_50112,,,N,,N
DEVICE_DESC,19,100,VARCHAR2,0,19,PRDESC26,DEVICEID_40103_DEVICENAME_50103,PRDESC25,DEVICEID_40104_DEVICENAME_50104,DEVICEID_40112_DEVICENAME_50112,,,N,,N
DEVICE_START_DATE,19,100,DATE,0,10,2018-12-05,2018-01-11,2018-11-28,2018-01-14,2018-08-10,,,N,,N
DEVICE_END_DATE,19,100,DATE,0,14,2020-01-24,2018-03-12,2020-01-24,2018-03-30,2018-11-01,,,N,,N
MANUFACTURER_NAME,19,100,VARCHAR2,0,11,Manufacturer_113,Apple,Manufacturer_112,Apple,Manufacturer_104,,,N,,N
DEVICE_MODEL,19,100,VARCHAR2,0,10,Samsung Galaxy S7,MODEL1,Samsung Galaxy S7,MODEL10,Samsung Galaxy S7,,,N,,N
DEVICE_COLOR,19,100,VARCHAR2,0,3,White,Black,White,Black,Black,,,N,,N
DEVICE_SIZE,19,100,VARCHAR2,0,2,Large,143.2 x 70.3 x 8.2mm,Large,143.2 x 70.3 x 8.2mm,143.2 x 70.3 x 8.2mm,,,N,,N
DEVICE_VERSION,19,100,VARCHAR2,0,13,Ver_113,PRVER1,Ver_112,PRVER1,Ver_104,,,N,,N
DEVICE_TYPE_NAME,19,100,VARCHAR2,0,11,SIM CARD,DEVICE_TYPE_104,SIM CARD,DEVICE_TYPE_105,DEVICE_TYPE_113,,,N,,N
DEVICE_SUBTYPE_NAME,19,100,VARCHAR2,0,11,SIM,DEVICE_SUBTYPE_103,SIM,DEVICE_SUBTYPE_104,DEVICE_SUBTYPE_112,,,N,,N
SMART_PHONE_FLAG,9,100,NUMBER,10,2,3,0,3,0,0,1,1.5,N,,Y
AVERAGE_COST,19,100,NUMBER,0,11,925163.802,68.38,909175.188,169.7,534.474,97479.1,288874.69,N,,Y
CREATE_JOB_RUN_ID,19,100,NUMBER,0,11,10415,203,10415,204,212,5042.63,5236.34,N,,Y
UPDATE_JOB_RUN_ID,19,100,NUMBER,0,11,10415,303,10415,304,312,5095.26,5185.04,N,,Y
CREATE_DATE_TIME,19,100,TIMESTAMP(6),0,11,2018-08-10,2018-05-11,2018-08-10,2018-05-11,2018-08-10,,,N,,N
UPDATE_DATE_TIME,19,100,TIMESTAMP(6),0,11,2018-08-10,2018-05-11,2018-08-10,2018-05-11,2018-08-10,,,N,,N
CREATE_USER_ID,19,100,VARCHAR2,0,11,sshuser,DEVICE_CUID_203,sshuser,DEVICE_CUID_204,DEVICE_CUID_212,,,N,,N
UPDATE_USER_ID,19,100,VARCHAR2,0,11,sshuser,DEVICE_CUID_203,sshuser,DEVICE_CUID_204,DEVICE_CUID_212,,,N,,N
RECORD_STATUS,19,100,NUMBER,0,1,1,1,1,1,1,1,0,N,,Y
EFFECTIVE_START_DATE,19,100,TIMESTAMP(6),0,12,2018-08-10,2018-05-11,2018-08-10,2018-05-11,2018-08-10,,,N,,N
EFFECTIVE_END_DATE,19,100,TIMESTAMP(6),0,12,9999-12-31,2018-08-21,9999-12-31,2018-08-24,2018-11-09,,,N,,N
DIM_DEVICE_KEY_SEQ,19,100,NUMBER,0,12,113,5,112,5,104,59.74,52.85,N,,Y
