columnname,rowcount,pctscan,datatype,nullcount,distinctvalues,maximum,minimum,name_3,name_4,median,average,standarddev,name_1,values,name_2
CUSTOMER_ORDER_SK,50,100,VARCHAR2,0,50,CUSTORD202,CUSTORD153,CUSTORD197,CUSTORD157,CUSTORD177,,,N,,N
CREATED_DATE_ID,50,100,DATE,0,1,2018-01-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,,,N,,N
CREATED_TIME_ID,50,100,NUMBER,0,1,0,0,0,0,0,0,0,N,,Y
CUSTOMER_SK,50,100,VARCHAR2,0,50,CUST152,CUST103,CUST147,CUST107,CUST127,,,N,,N
BILLING_ACCOUNT_SK,50,100,VARCHAR2,0,50,BLLACCT151,5667587,BLLACCT146,BLLACCT106,BLLACCT126,,,N,,N
ORDER_SUBTYPE_ID,50,100,VARCHAR2,0,22,ORDER_TYPE_122,1,ORDER_TYPE_120,2,ORDER_TYPE_110,,,N,,N
REQUESTED_DATE_ID,50,100,DATE,0,28,2018-02-01,2018-01-01,2018-01-29,2018-01-03,2018-01-15,,,N,,N
REQUESTED_TIME_ID,50,100,NUMBER,0,1,0,0,0,0,0,0,0,N,,Y
INITIATED_CHANNEL_ID,50,100,VARCHAR2,0,16,CH04,1024484997,CH03,1294866258,2267856273,,,N,,N
DEALER_ID,50,100,VARCHAR2,0,50,DEALERID_169,DEALERID_120,DEALERID_164,DEALERID_124,DEALERID_144,,,N,,N
RETAILER_ID,50,100,VARCHAR2,0,10,RETAILER_1025,RETAILER_1004,RETAILER_1024,RETAILER_1004,RETAILER_1015,,,N,,N
AFFILIATE_ID,50,100,VARCHAR2,0,4,AF_107,AF_104,AF_107,AF_104,AF_105,,,N,,N
CAMPAIGN_ID,50,100,VARCHAR2,0,10,CAMP_112,CAMP_103,CAMP_111,CAMP_103,CAMP_107,,,N,,N
COMPLETED_DATE_ID,50,100,DATE,0,1,2018-08-01,2018-08-01,2018-08-01,2018-08-01,2018-08-01,,,N,,N
COMPLETED_TIME_ID,50,100,NUMBER,0,1,0,0,0,0,0,0,0,N,,Y
COMMITTED_DATE_ID,50,100,DATE,0,1,2018-08-31,2018-08-31,2018-08-31,2018-08-31,2018-08-31,,,N,,N
COMMITTED_TIME_ID,50,100,NUMBER,0,1,0,0,0,0,0,0,0,N,,Y
COMPLETED_CHANNEL_ID,50,100,VARCHAR2,0,50,COMPLTD_CHNL_311,COMPLTD_CHNL_262,COMPLTD_CHNL_306,COMPLTD_CHNL_266,COMPLTD_CHNL_286,,,N,,N
STATUS_ID,50,100,VARCHAR2,0,10,9,1,8,1,4,,,N,,N
STATUS_CHG_RSN_ID,50,100,VARCHAR2,0,3,103,101,103,101,102,,,N,,N
PREVIOUS_CUSTOMER_ORDER_SK,50,100,VARCHAR2,0,50,PREV_CUST_ORDR_311,PREV_CUST_ORDR_262,PREV_CUST_ORDR_306,PREV_CUST_ORDR_266,PREV_CUST_ORDR_286,,,N,,N
REASON_ID,50,100,VARCHAR2,0,10,RSN_9,RSN_1,RSN_8,RSN_10,RSN_5,,,N,,N
REWORK_ORDER_FLAG,50,100,NUMBER,0,1,0,0,0,0,0,0,0,N,,Y
ACTUAL_TURNAROUND_DURATION,50,100,NUMBER,0,1,60,60,60,60,60,60,0,N,,Y
PLANNED_TURNAROUND_DURATION,50,100,NUMBER,0,1,90,90,90,90,90,90,0,N,,Y
FULFILED_ONTIME_FLG,50,100,NUMBER,0,1,1,1,1,1,1,1,0,N,,Y
NEW_CUSTOMER_ORDER_FLAG,50,100,NUMBER,0,1,0,0,0,0,0,0,0,N,,Y
TOT_UPFRONT_CHARGE,50,100,NUMBER,0,50,151,102,146,106,126.5,126.5,14.58,N,,Y
TOT_MONTHLY_RECURRING_CHARGE,50,100,NUMBER,0,50,101,52,96,56,76.5,76.5,14.58,N,,Y
TOT_ORDER_VALUE,50,100,NUMBER,0,50,201,152,196,156,176.5,176.5,14.58,N,,Y
TOT_MONTHLY_DISCOUNT,50,100,NUMBER,0,11,60,50,59,51,55,55.3,2.82,N,,Y
TOT_ONE_TIME_DISCOUNT,50,100,NUMBER,0,1,30,30,30,30,30,30,0,N,,Y
TOT_TAX_AMOUNT,50,100,NUMBER,0,1,125,125,125,125,125,125,0,N,,Y
CREATE_JOB_RUN_ID,50,100,NUMBER,0,50,1052,1003,1047,1007,1027.5,1027.5,14.58,N,,Y
UPDATE_JOB_RUN_ID,50,100,NUMBER,0,50,1052,1003,1047,1007,1027.5,1027.5,14.58,N,,Y
CREATE_DATE_TIME,50,100,TIMESTAMP(6),0,50,2018-08-09,2018-08-09,2018-08-09,2018-08-09,2018-08-09,,,N,,N
UPDATE_DATE_TIME,50,100,TIMESTAMP(6),0,50,2018-08-09,2018-08-09,2018-08-09,2018-08-09,2018-08-09,,,N,,N
CREATE_USER_ID,50,100,VARCHAR2,0,1,sshuser,sshuser,sshuser,sshuser,sshuser,,,N,,N
UPDATE_USER_ID,50,100,VARCHAR2,0,1,sshuser,sshuser,sshuser,sshuser,sshuser,,,N,,N
