columnname,rowcount,pctscan,datatype,nullcount,distinctvalues,maximum,minimum,name_3,name_4,median,average,standarddev,name_1,values,name_2
CUSTOMER_ORDER_SK,50,100,VARCHAR2,0,50,CUSTORD9,CUSTORD10,CUSTORD52,CUSTORD14,CUSTORD34,,,N,,N
ORDER_LINE_ID,50,100,VARCHAR2,0,50,ORDER_LINE_ID_9,ORDER_LINE_ID_10,ORDER_LINE_ID_52,ORDER_LINE_ID_14,ORDER_LINE_ID_34,,,N,,N
PRODUCT_INSTANCE_ID,50,100,VARCHAR2,0,50,PROD_INSTANCE_ID_9,PROD_INSTANCE_ID_10,PROD_INSTANCE_ID_52,PROD_INSTANCE_ID_14,PROD_INSTANCE_ID_34,,,N,,N
PARENT_PRODUCT_INSTANCE_ID,50,100,VARCHAR2,0,50,PARENT_PROD_INS_ID_9,PARENT_PROD_INS_ID_10,PARENT_PROD_INS_ID_52,PARENT_PROD_INS_ID_14,PARENT_PROD_INS_ID_34,,,N,,N
CREATED_DATE_ID,50,100,DATE,0,1,2018-08-13,2018-08-13,2018-08-13,2018-08-13,2018-08-13,,,N,,N
CREATED_TIME_ID,50,100,NUMBER,0,1,63623,63623,63623,63623,63623,63623,0,N,,Y
DEALER_ID,50,100,VARCHAR2,0,50,DEALERID_9,DEALERID_10,DEALERID_52,DEALERID_14,DEALERID_34,,,N,,N
RETAILER_ID,50,100,VARCHAR2,0,50,RETAILER_9,RETAILER_10,RETAILER_52,RETAILER_14,RETAILER_34,,,N,,N
AFFILIATE_ID,50,100,VARCHAR2,0,50,AF_184,AF_135,AF_179,AF_139,AF_159,,,N,,N
CAMPAIGN_ID,50,100,VARCHAR2,0,50,CAMP_152,CAMP_103,CAMP_147,CAMP_107,CAMP_127,,,N,,N
INITIATED_CHANNEL_ID,50,100,VARCHAR2,0,50,CH009,CH0010,CH0052,CH0014,CH0034,,,N,,N
AGREEMENT_SK,50,100,VARCHAR2,0,50,AGREEMENT_SK_99,AGREEMENT_SK_100,AGREEMENT_SK_94,AGREEMENT_SK_54,AGREEMENT_SK_74,,,N,,N
AGREEMENT_TYPE_ID,50,100,VARCHAR2,0,2,1,0,1,0,0,,,N,,N
PURPOSE_ID,50,100,VARCHAR2,0,50,2705891100,2705891051,2705891095,2705891055,2705891075,,,N,,N
PRODUCT_CATEGORY_ID,50,100,VARCHAR2,0,50,PROD_CATEGORY_ID_9,PROD_CATEGORY_ID_10,PROD_CATEGORY_ID_52,PROD_CATEGORY_ID_14,PROD_CATEGORY_ID_34,,,N,,N
PRODUCT_OFFERING_CATEGORY_ID,50,100,VARCHAR2,0,50,PROD_OFF_CAT_ID_9,PROD_OFF_CAT_ID_10,PROD_OFF_CAT_ID_52,PROD_OFF_CAT_ID_14,PROD_OFF_CAT_ID_34,,,N,,N
PRODUCT_OFFERING_ID,50,100,VARCHAR2,0,50,PROD_OFFER_ID_9,PROD_OFFER_ID_10,PROD_OFFER_ID_52,PROD_OFFER_ID_14,PROD_OFFER_ID_34,,,N,,N
DEVICE_ID,50,100,VARCHAR2,0,50,DEVICEID_40152,DEVICEID_40103,DEVICEID_40147,DEVICEID_40107,DEVICEID_40127,,,N,,N
CFS_ID,50,100,VARCHAR2,0,50,CFS_ID_9,CFS_ID_10,CFS_ID_52,CFS_ID_14,CFS_ID_34,,,N,,N
LOGICAL_RESOURCE_ID,50,100,VARCHAR2,0,50,LOGICAL_RESOURCE_ID_9,LOGICAL_RESOURCE_ID_10,LOGICAL_RESOURCE_ID_52,LOGICAL_RESOURCE_ID_14,LOGICAL_RESOURCE_ID_34,,,N,,N
PRODUCT_OFFER_PRICE_ID,50,100,VARCHAR2,0,50,PROD_OFF_PRICE_ID_9,PROD_OFF_PRICE_ID_10,PROD_OFF_PRICE_ID_52,PROD_OFF_PRICE_ID_14,PROD_OFF_PRICE_ID_34,,,N,,N
MSISDN,50,100,VARCHAR2,0,50,447242142620,447242142571,447242142615,447242142575,447242142595,,,N,,N
QUANTITY,50,100,NUMBER,0,27,50,10,49,12,36,32.14,13.92,N,,Y
COMPLETED_DATE_ID,50,100,DATE,0,1,2018-08-13,2018-08-13,2018-08-13,2018-08-13,2018-08-13,,,N,,N
COMPLETED_TIME_ID,50,100,NUMBER,0,1,72740,72740,72740,72740,72740,72740,0,N,,Y
COMMITTED_DATE_ID,50,100,DATE,0,1,2018-09-13,2018-09-13,2018-09-13,2018-09-13,2018-09-13,,,N,,N
COMMITTED_TIME_ID,50,100,NUMBER,0,1,72840,72840,72840,72840,72840,72840,0,N,,Y
STATUS_ID,50,100,VARCHAR2,0,50,ORDSTS152,ORDSTS103,ORDSTS147,ORDSTS107,ORDSTS127,,,N,,N
