columnname,rowcount,pctscan,datatype,nullcount,distinctvalues,maximum,minimum,name_3,name_4,median,average,standarddev,name_1,values,name_2
CUSTOMER_PROBLEM_SK,50,100,VARCHAR2,0,50,PRB000000000152,PRB000000000103,PRB000000000147,PRB000000000107,PRB000000000127,,,N,,N
CREATED_DATE_ID,50,100,DATE,0,1,2018-08-10,2018-08-10,2018-08-10,2018-08-10,2018-08-10,,,N,,N
CREATED_TIME_ID,50,100,NUMBER,0,1,134228,134228,134228,134228,134228,134228,0,N,,Y
INITIATED_CHANNEL_ID,50,100,VARCHAR2,0,50,CH009,CH0010,CH0052,CH0014,CH0034,,,N,,N
BILLING_ACCOUNT_SK,50,100,VARCHAR2,0,50,BLLACCT162,BLLACCT113,BLLACCT157,BLLACCT117,BLLACCT137,,,N,,N
CUSTOMER_SK,50,100,VARCHAR2,0,50,CUSTOMER_SK_9,CUSTOMER_SK_10,CUSTOMER_SK_51,CUSTOMER_SK_14,CUSTOMER_SK_33,,,N,,N
PROBLEM_PRIORITY_ID,50,100,VARCHAR2,0,50,2637890999,2637890950,2637890994,2637890954,2637890974,,,N,,N
PROBLEM_SUB_TYPE_ID,50,100,VARCHAR2,0,50,735024602,735024553,735024597,735024557,735024577,,,N,,N
PROBLEM_REOPENED_CNT,50,100,NUMBER,0,6,6,1,6,1,4,3.62,1.77,N,,Y
TECHNICAL_PROBLEM_FLAG,50,100,NUMBER,0,2,1,0,1,0,0,0.38,0.49,N,,Y
PRODUCT_INSTANCE_ID,50,100,VARCHAR2,0,50,PRODINS175,PRODINS126,PRODINS170,PRODINS130,PRODINS150,,,N,,N
CUSTOMER_BILL_SK,50,100,VARCHAR2,0,50,1052,1003,1047,1007,1027,,,N,,N
PROBLEM_STATUS_ID,50,100,VARCHAR2,0,2,Inprogress,Closed,Inprogress,Closed,Closed,,,N,,N
REOPENED_FLAG,50,100,NUMBER,0,1,1,1,1,1,1,1,0,N,,Y
REOPEN_START_DATE_ID,50,100,DATE,0,25,2018-06-12,2018-05-13,2018-06-09,2018-05-17,2018-05-31,,,N,,N
REOPEN_START_TIME_ID,50,100,NUMBER,0,1,101026,101026,101026,101026,101026,101026,0,N,,Y
REOPEN_CLOSED_DATE_ID,50,100,DATE,0,26,2018-08-12,2018-07-12,2018-08-08,2018-07-13,2018-07-27,,,N,,N
REOPEN_CLOSED_TIME_ID,50,100,NUMBER,0,1,221026,221026,221026,221026,221026,221026,0,N,,Y
CLOSED_DATE_ID,50,100,DATE,0,39,2018-12-22,2018-08-10,2018-12-14,2018-08-19,2018-10-10,,,N,,N
CLOSED_TIME_ID,50,100,NUMBER,0,1,214328,214328,214328,214328,214328,214328,0,N,,Y
COMPLETED_SLA_FLAG,50,100,NUMBER,0,2,1,0,1,0,1,0.88,0.33,N,,Y
TOTAL_DURATION,50,100,NUMBER,0,42,219,82,211,103,159.5,157.02,38.7,N,,Y
CREATE_JOB_RUN_ID,50,100,NUMBER,0,1,1000,1000,1000,1000,1000,1000,0,N,,Y
UPDATE_JOB_RUN_ID,50,100,NUMBER,0,1,1000,1000,1000,1000,1000,1000,0,N,,Y
CREATE_DATE_TIME,50,100,TIMESTAMP(6),0,50,2018-08-10,2018-08-10,2018-08-10,2018-08-10,2018-08-10,,,N,,N
UPDATE_DATE_TIME,50,100,TIMESTAMP(6),0,50,2018-08-10,2018-08-10,2018-08-10,2018-08-10,2018-08-10,,,N,,N
